Geneid	SRR2932702_1.bam	SRR2932703_1.bam	SRR2932704_1.bam	SRR2932705_1.bam	SRR2932706_1.bam	SRR2932707_1.bam
Gm7417	0	0	0	0	0	0
Gm19026	0	1	2	0	0	0
St18	1	1	0	1	0	1
Gm42492	0	0	0	0	0	0
Gm7449	0	0	0	0	0	0
Gm37108	0	1	1	1	0	0
Gm37275	0	0	0	0	0	0
Gm37225	0	0	0	0	0	0
Gm37489	0	0	0	0	0	0
Gm5694	0	0	0	0	0	0
Pcmtd1	1085	1022	1240	853	631	968
Gm26983	1	0	0	0	0	1
Gm38372	0	0	0	0	0	0
Gm9826	796	985	957	530	286	382
Nras-ps2	0	0	0	0	0	0
Gm23274	0	0	0	0	0	0
Gm19002	0	0	0	0	0	0
Gm26901	5	3	10	8	5	4
Gm18984	0	0	0	0	0	0
Gm30414	0	0	0	0	0	0
Gm37791	0	0	0	0	0	0
Gm7470	0	0	0	0	0	0
Rps2-ps2	0	0	0	0	0	0
Gm38216	0	0	0	0	0	0
Sntg1	204	110	264	93	44	103
Gm38024	0	0	0	0	0	0
Gm16284	0	0	0	0	0	0
Gm38259	0	0	0	0	0	0
Gm23358	0	0	0	0	0	0
Gm37005	0	0	0	0	0	0
Gm15452	0	0	0	0	0	0
Gm36964	0	0	2	0	0	1
Gm24276	1	0	0	0	0	0
Gm6152	0	0	0	0	0	0
Gm7445	0	0	0	0	0	0
Gm7493	0	0	0	0	0	0
Gm37629	0	0	0	0	0	0
Gm38008	0	0	0	0	0	0
Gm37143	0	0	0	0	0	0
Gm6187	0	0	0	0	0	0
Gm18299	0	0	0	0	0	0
Gm7512	0	0	0	0	0	0
Gm24765	0	0	0	0	0	0
Gm18300	1	1	1	0	1	1
Rrs1	172	153	146	169	164	172
Adhfe1	1363	1663	1682	1687	1355	1869
2610203C22Rik	551	751	706	921	930	1008
Gm6161	0	0	0	0	0	0
3110035E14Rik	5	5	7	10	8	14
Gm29520	0	0	0	0	0	1
Mybl1	6	9	11	14	14	35
Vcpip1	334	360	402	323	226	344
1700034P13Rik	41	38	49	40	26	44
Sgk3	123	114	140	117	82	155
Gm6195	1	0	0	0	0	1
Gm22607	0	0	0	0	0	0
Mcmdc2	3	8	2	1	10	7
Snhg6	33	47	40	62	68	52
Snord87	0	0	0	0	0	0
Tcf24	3	1	0	0	0	5
E330040D14Rik	0	0	0	0	0	0
Ppp1r42	0	1	0	1	1	4
Gm15818	0	0	1	0	0	0
Gm24674	0	0	0	0	0	0
Cops5	499	525	565	534	454	556
Cspp1	288	371	404	279	277	421
1700047N06Rik	0	0	0	0	0	0
Arfgef1	812	654	982	646	377	631
Gm26348	0	0	0	0	2	0
Gm37569	0	0	0	0	0	0
Cpa6	0	0	0	0	1	0
Gm38005	0	0	0	0	0	0
Gm15604	0	0	0	0	0	0
Gm25253	0	0	0	0	0	0
Gm15603	0	0	0	0	0	0
Gm37133	0	0	0	0	0	0
Gm5522	0	0	0	0	0	0
Gm28659	0	0	0	0	0	0
Gm22963	0	0	0	0	0	0
Prex2	89	101	91	73	41	79
Gm24173	0	0	0	0	0	0
Gm28686	0	0	0	0	0	0
Gm37410	0	0	0	0	0	0
A830018L16Rik	0	0	2	3	0	0
Gm38178	0	0	0	0	0	0
Gm29273	0	0	0	0	0	0
Gm38069	0	0	0	0	0	0
Gm7560	0	0	0	0	0	0
Gm22633	0	0	0	0	0	0
Mir6341	0	0	0	0	0	0
Gm2383	1	2	0	0	0	1
Gm6216	0	0	0	0	0	0
Gm17644	0	0	0	0	0	0
Gm29663	0	0	0	0	0	0
Sulf1	9	14	16	8	4	6
Slco5a1	1	1	0	0	1	1
Gm37162	0	0	0	0	0	0
Gm5250	0	0	0	0	0	0
Gm29283	0	0	1	0	0	0
Prdm14	0	0	0	0	0	0
Ncoa2	518	487	638	417	281	516
Gm38376	0	0	0	0	0	0
Gm37409	0	0	0	0	0	0
Gm27881	0	0	0	0	1	0
Gm38223	0	0	0	0	0	0
Gm37702	0	0	0	0	0	0
Gm23169	0	0	0	0	0	0
Gm38120	0	0	0	0	0	0
Gm38380	0	0	0	0	0	0
Gm29570	0	1	0	0	0	2
Gm7593	0	0	0	0	0	0
Tram1	588	559	622	766	528	662
Lactb2	2346	2110	2903	2576	1755	2848
Gm38319	0	0	0	0	0	0
Xkr9	109	114	207	191	116	204
Gm26273	0	0	0	0	0	0
Gm5523	3	3	6	0	0	0
Gm36947	0	0	0	0	0	0
Gm25491	0	0	0	0	0	0
Gm37400	0	0	0	0	0	0
Eya1	0	1	0	0	1	0
Gm22616	0	0	0	0	0	0
Gm37444	0	0	0	0	0	0
Gm9947	6	3	4	11	11	13
Msc	1	6	3	5	4	6
Gm37412	0	3	1	1	1	2
Smt3h2-ps4	0	1	3	1	1	0
Rpl5-ps1	1	4	2	2	0	1
Trpa1	0	0	0	0	0	0
Gm26345	0	0	0	0	0	0
Gm10566	0	1	0	0	0	1
Kcnb2	31	96	49	291	231	507
Gm38116	0	0	0	0	0	0
Gm37138	0	0	0	0	0	0
Gm25227	0	0	0	0	0	0
Gm25168	0	0	0	0	0	0
Gm6060	0	0	0	0	0	0
Gm28669	0	0	0	0	0	0
Terf1	130	122	139	102	103	141
Gm37509	0	6	1	3	3	0
Sbspon	6	11	9	5	3	4
Gm23259	0	0	0	0	0	0
Gm7634	0	0	0	0	0	0
4930444P10Rik	0	0	0	0	0	0
Rpl7	1601	2230	1704	2514	2471	2292
Rdh10	229	182	205	278	188	277
Gm38249	0	0	0	0	0	0
Gm28095	12	11	16	17	18	18
Stau2	118	92	126	132	89	112
Gm7568	1	1	2	2	2	1
Ube2w	212	230	242	261	208	279
Gm38342	9	4	9	14	3	9
Eloc	200	236	211	295	262	255
D030040B21Rik	0	0	0	1	0	1
Gm7654	0	0	0	0	0	0
Tmem70	300	296	278	418	328	429
Ly96	23	28	27	35	32	52
Gm29649	0	0	0	0	0	0
Gm5828	0	0	0	0	0	0
Gm28376	3	12	7	5	16	10
4921511E07Rik	0	0	0	0	0	0
Jph1	14	16	17	9	18	18
Gm28783	0	0	0	0	0	0
Gdap1	0	0	0	1	0	0
Gm28784	0	0	0	0	0	0
Gm28785	0	0	0	0	0	0
Gm5251	0	0	0	0	0	0
Rbm6-ps1	3	4	2	4	1	2
Gm6075	0	0	0	0	0	0
Gm25166	0	0	0	0	0	0
Pi15	1	1	3	2	2	4
Gm28154	3	3	1	1	3	1
Gm16070	0	0	0	0	0	0
Crispld1	0	0	0	1	0	1
Gm28153	0	0	0	0	0	0
Gm7690	0	0	0	0	0	0
Gm18775	0	0	0	0	0	0
Gm17969	0	0	0	0	0	0
Gm28756	0	0	0	0	0	0
Gm28755	0	0	0	0	0	0
Gm45784	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0
Defb18	0	0	0	0	0	0
Defb41	0	0	0	0	0	0
Gm17837	0	0	0	0	0	0
Gm5252	0	0	0	0	0	0
Gm24075	0	0	0	0	0	0
Gm28343	0	0	0	0	0	0
Gm28344	0	0	0	0	0	0
Gm15825	0	0	0	0	0	0
Tfap2d	0	2	1	0	1	1
Gm10075	0	1	0	0	1	0
Tfap2b	0	0	0	0	0	0
Gm28340	0	0	0	0	0	0
Gm28341	0	0	0	0	0	0
Gm4849	2	2	0	2	0	0
Gm24633	0	0	0	0	0	0
Gm38382	0	0	0	0	0	0
Pkhd1	78	79	87	108	105	123
Gm37315	0	0	0	0	0	0
4930486I03Rik	7	9	4	9	2	4
Gm15795	0	0	0	0	0	0
Gm24162	0	0	0	0	0	0
Gm28653	0	0	0	0	0	0
Mir206	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0
Il17a	0	0	0	0	0	0
Il17f	0	0	0	0	0	1
Mcm3	20	36	35	35	42	64
Gm20587	0	0	0	0	0	0
Gm28065	0	0	0	0	0	0
Gm24723	0	0	0	0	0	0
6720483E21Rik	0	1	0	0	0	0
Paqr8	2	2	2	2	2	1
Gm24171	0	0	0	0	0	0
Gm28064	0	0	0	0	0	0
Efhc1	2	5	6	4	3	9
Tram2	273	188	247	164	129	193
Gm28287	0	0	0	0	0	0
Gm2693	1	3	1	2	4	6
Tmem14a	14	29	27	60	44	56
Gm38224	0	0	0	0	0	0
Gsta3	4455	9008	7969	14431	11824	14805
Gm28836	4172	8259	7666	13384	10878	14107
Gm7094	0	0	0	0	0	1
Gm4956	34	44	60	79	58	77
Gm21909	0	1	0	0	0	0
Khdc1a	0	0	0	0	0	0
Gm16329	0	0	0	0	0	0
Gm16327	0	0	0	0	0	0
Khdc1c	0	0	0	0	0	0
Gm2709	0	0	0	0	0	0
Gm16533	0	0	0	0	0	0
Khdc1b	0	0	0	0	1	0
Gm16328	0	0	0	0	0	0
Kcnq5	6	2	2	8	11	9
Gm36949	0	0	0	0	0	0
Gm7658	0	0	0	0	0	0
Gm38243	0	0	0	0	0	0
Gm26580	0	0	1	0	1	0
Gm5696	0	0	0	0	0	0
Gm28239	0	0	0	0	0	0
Rims1	0	0	1	2	4	4
Gm26866	0	0	0	0	0	0
Gm7761	0	0	0	0	0	0
Gm29506	0	1	0	0	0	1
4933415F23Rik	0	0	0	0	0	0
Gm24176	0	0	0	0	0	0
Gm6420	0	0	0	0	0	1
Mir30a	0	0	0	0	0	0
Gm27028	31	17	19	12	5	11
Mir30c-2	0	0	0	0	0	0
Gm29107	2	3	5	3	6	0
Gm20954	0	0	0	0	0	0
Ogfrl1	83	117	78	95	97	94
Gm7784	0	2	0	0	0	0
Gm28822	0	0	0	0	0	0
B3gat2	173	165	151	255	218	281
Smap1	269	322	311	328	295	394
Sdhaf4	67	71	78	122	145	123
Gm26524	13	19	23	66	48	46
Fam135a	434	419	471	327	266	561
Gm37580	0	0	0	0	0	0
Gm26607	0	0	0	0	0	0
Col9a1	0	0	0	0	0	0
Col19a1	0	0	0	1	0	1
Gm26418	0	0	0	0	0	0
Tubb4b-ps2	0	0	1	0	0	0
Gm28439	546	693	591	372	211	661
Gm10222	537	357	342	107	68	333
Gm28438	46	50	23	28	31	22
Gm28437	448	776	536	424	426	489
Gm10925	877	1486	1679	1181	822	1334
Gm28661	664	978	524	463	529	623
Gm29216	399	729	411	462	503	504
Lmbrd1	666	625	724	599	441	613
Gm28594	0	0	0	0	0	0
Gm28237	0	0	0	0	0	0
Gm9443	0	0	0	0	0	0
Gm29414	0	0	0	0	0	0
Adgrb3	0	1	1	1	0	0
Gm15702	0	0	0	0	0	0
Gm20172	0	0	0	0	0	0
Gm22260	0	0	0	0	0	0
Gm37543	0	0	0	0	0	0
Gm37331	0	0	0	0	0	0
Gm37211	0	0	0	0	0	0
Gm37862	0	0	0	0	0	0
Gm38286	0	0	0	0	0	0
Gm37880	0	0	0	0	0	0
Gm25294	0	0	0	0	0	0
Gm37011	0	0	0	0	0	0
Gm29214	0	0	0	0	0	0
Gm37051	0	0	0	0	0	0
Gm38260	0	0	0	0	0	0
Gm37628	0	0	0	0	0	0
8030445P17Rik	0	0	0	0	0	0
Gm38198	0	0	0	0	0	0
Gm37077	0	0	0	0	0	0
Gm37895	0	0	0	0	0	0
Gm36952	0	0	0	0	0	0
Gm37602	0	0	0	0	0	0
2900022M07Rik	0	0	0	0	0	0
2900002M20Rik	0	0	0	0	0	0
Gm9884	0	0	0	0	0	0
Gm18443	0	0	0	0	0	0
Gm19123	0	0	0	0	0	0
Gm24064	0	0	0	0	0	0
4931408C20Rik	0	0	0	0	0	0
n-R5s209	0	0	0	0	0	0
Gm19641	0	0	0	0	0	0
Gm5524	89	110	124	180	122	161
Gm18776	30	47	58	48	33	86
Gm19028	0	0	0	0	0	0
Gm38089	0	0	0	0	0	0
Gm7846	3	4	4	4	0	5
Gm597	0	0	0	0	0	0
Gm5697	0	0	0	0	0	0
Gm6462	0	0	0	0	0	0
Gm18033	0	0	0	0	0	0
Gm25586	0	0	0	0	0	0
Gm22679	0	0	0	0	0	0
Gm23785	0	0	0	0	0	0
Mir6342	0	0	0	0	0	0
Gm5525	1	0	0	0	1	0
Gm7858	0	0	0	0	0	0
Gm23771	0	0	0	0	0	0
Gm27430	0	0	0	0	0	0
Gm9898	0	0	0	0	0	0
Gm6473	0	4	1	1	5	2
Gm2914	0	0	0	0	0	0
Phf3	512	476	620	419	326	596
Gm37522	0	0	0	0	0	0
Gm37906	0	0	0	0	0	0
Ptp4a1	441	607	583	671	485	700
Gm5698	0	0	0	0	0	0
Gm9458	0	0	0	0	0	0
Gm5699	0	0	0	0	0	1
Gm29669	33	50	48	62	74	108
Gm28644	3	3	0	1	2	2
Gm27362	0	0	0	0	0	0
4931428L18Rik	0	0	0	0	0	0
Gm29128	0	0	0	1	0	0
Gm7893	0	0	0	0	0	0
Lgsn	0	0	0	0	0	0
Pih1d3	0	0	0	0	0	0
Gm26145	0	0	0	0	0	0
Gm4850	0	0	0	0	0	0
Gm28645	0	0	0	0	0	0
Gm6489	0	0	0	0	0	0
Gm10307	0	0	0	0	0	0
Gm19680	8	15	10	13	10	20
Gm23032	0	0	0	0	0	0
Gm7910	0	0	0	0	0	0
Khdrbs2	0	0	0	0	1	0
Gm25814	0	0	0	0	0	0
Gm37999	0	0	0	0	0	0
Gm37110	0	0	0	0	0	0
Gm37911	0	0	0	0	0	0
Gm9839	0	0	0	0	0	0
Gm37792	0	0	0	0	0	0
Gm5415	0	0	0	0	0	0
Gm24732	0	0	0	0	0	0
Gm37426	0	0	0	0	0	0
Gm23024	0	0	0	0	0	0
Gm37151	0	0	0	0	0	0
Gm28624	0	0	0	0	0	0
Gm37724	0	0	0	0	0	0
Gm7114	0	1	1	0	0	2
Gm4785	0	0	0	0	0	0
Gm24901	0	0	0	0	0	0
Gm37591	0	0	0	0	0	0
Gm2987	0	0	0	0	0	0
Gm25792	0	0	0	0	0	0
Gm18799	0	0	0	0	0	0
Gm7933	0	0	0	0	0	0
Gm23453	0	0	0	0	0	0
Prim2	20	26	25	13	22	27
Gm29228	0	0	0	0	0	0
Gm37618	0	0	0	0	0	0
Gm17813	0	0	0	0	0	0
1700001G17Rik	0	0	1	0	0	0
Gm38173	0	0	0	0	0	0
Rab23	44	46	60	43	42	80
Bag2	19	17	19	14	10	20
Gm37905	4	3	4	1	4	0
Zfp451	180	188	199	156	127	197
Gm15455	0	1	0	0	0	0
Bend6	1	3	4	4	2	1
Gm37067	0	0	0	0	0	0
Dst	908	936	993	577	463	887
Gm37354	0	0	0	0	0	0
Gm28631	0	0	0	0	0	0
Gm23792	0	0	0	0	0	0
Gm38157	0	0	0	0	0	0
Mir6896	0	0	0	0	0	0
Gm26788	5	7	4	4	3	10
A930005N03Rik	54	34	57	9	6	31
Gm37958	0	0	0	0	0	0
Gm37385	0	0	0	0	0	0
Gm5266	0	0	0	0	0	0
Gm3052	0	1	0	1	2	0
Gm37233	0	1	2	1	0	0
Mir5103	0	0	0	0	0	0
Ccdc115	73	103	89	152	130	148
Gm28306	109	143	133	127	81	77
Imp4	222	192	195	182	123	182
Ptpn18	3	16	7	17	18	22
Gm28417	7	6	2	8	15	12
4930568A12Rik	0	0	0	0	0	0
Prss39	0	0	0	0	0	0
Gm28416	0	0	0	0	0	0
Cfc1	0	0	0	0	0	0
Gm28419	0	0	0	0	0	0
Prss40	0	0	0	0	0	0
1700101I19Rik	0	0	0	0	0	0
Amer3	0	0	0	0	0	0
Gm28418	0	0	0	0	0	0
Gm36984	0	0	0	0	0	0
Gm29730	0	0	0	0	0	0
AA619741	0	0	0	0	0	0
Arhgef4	12	9	13	23	18	21
Gm37224	0	0	0	0	0	0
Gm37845	0	0	0	0	0	0
Gm38336	3	7	8	5	7	8
Fam168b	610	550	643	517	382	541
Gm37127	4	2	1	0	1	2
Plekhb2	113	107	142	136	75	90
Gm19430	0	0	0	0	0	0
Gm37670	0	0	0	0	0	0
Gm8009	0	1	1	0	0	0
Gm38027	0	0	0	0	0	0
Gm25096	0	0	0	0	0	0
Gm37068	0	0	1	0	0	0
Gm25634	0	0	0	0	0	0
Gm28415	0	0	0	0	0	0
1110002O04Rik	0	0	0	0	0	0
Gm8022	0	0	0	0	0	0
Gm37146	0	0	0	0	0	0
Gm33222	0	0	0	0	0	0
4930535G08Rik	0	0	0	0	0	0
Gm38049	0	3	0	0	0	0
Hs6st1	926	1110	1066	1085	931	1457
Gm37335	216	330	213	456	536	517
Gm33280	1	4	2	4	8	2
Uggt1	452	423	466	458	389	401
Mir6897	0	0	0	0	0	0
Neurl3	64	119	79	96	117	129
Arid5a	11	16	15	14	10	16
4930403P22Rik	0	0	0	0	0	0
Kansl3	808	1039	910	737	700	784
Mir6898	0	0	0	0	0	0
Fer1l5	65	68	75	86	53	68
Lman2l	219	274	286	208	167	199
Cnnm4	31	47	57	27	29	31
Gm37909	0	0	0	0	0	0
AC084391.1	0	0	0	0	0	0
Cnnm3	197	178	199	172	131	190
Gm38033	3	4	1	2	3	1
Ankrd23	0	0	0	0	0	0
Gm42417	5	0	1	3	6	4
Ankrd39	9	14	15	14	24	23
Sema4c	53	78	61	43	72	58
D430040D24Rik	4	5	4	2	8	6
Fam178b	2	2	2	2	4	1
Gm6428	0	0	0	0	0	0
Gm24133	0	0	0	0	0	0
Cox5b	636	824	434	1239	1623	1458
Actr1b	652	696	715	815	771	812
4933424G06Rik	0	0	0	1	1	1
Gm33533	0	0	0	0	0	0
Zap70	76	136	82	106	95	90
Gm18828	0	0	0	0	0	0
Tmem131	524	481	593	315	207	310
Gm37506	0	0	0	0	0	0
Gm38115	0	0	0	0	0	0
F830112A20Rik	0	0	0	0	0	0
Rpl12-ps1	0	0	0	0	0	0
n-R5s210	0	0	0	0	0	0
Vwa3b	57	60	54	34	32	49
Gm37020	0	0	0	0	0	0
Cnga3	0	0	0	0	0	0
1700074A21Rik	0	0	0	0	0	0
Inpp4a	246	222	282	204	176	340
4930439A04Rik	1	1	0	0	1	1
Gm37135	0	0	0	0	0	0
Coa5	781	691	928	738	496	716
Unc50	247	237	286	311	263	331
Mgat4a	5	11	12	10	5	20
4930594C11Rik	0	0	0	0	0	0
Gm43213	0	0	0	0	0	0
2010300C02Rik	1	3	0	3	1	2
4930556I23Rik	0	0	0	1	0	1
4930470B04Rik	0	0	0	0	0	0
Gm19863	0	0	0	0	0	0
Tsga10	17	23	25	21	21	31
Gm26805	1	3	1	1	2	1
Lipt1	63	90	90	125	69	95
Mitd1	179	189	219	231	157	213
Mrpl30	214	294	237	356	383	358
Lyg2	0	0	0	0	0	0
Gm15457	0	0	0	0	0	0
Lyg1	0	0	0	0	0	0
Gm23409	0	0	0	0	0	0
Txndc9	233	283	273	345	311	388
Eif5b	924	1051	973	969	898	1079
Rev1	193	279	251	302	277	365
Gm37062	0	0	0	0	0	0
Gm5099	0	1	0	0	0	0
Aff3	8	5	11	10	15	14
Gm16150	0	0	0	0	1	0
Gm16151	1	1	0	0	0	0
Gm16152	0	0	1	0	0	1
Gm34727	0	0	0	0	0	0
Gm38135	0	0	0	0	0	0
2610300A13Rik	0	0	0	0	0	0
Lonrf2	0	0	0	4	0	0
Chst10	1	0	0	1	1	0
Gm37707	0	0	0	0	0	0
Gm6621	0	0	0	0	0	0
Nms	0	0	0	0	0	0
Pdcl3	147	140	130	167	123	169
Gm37309	0	0	0	0	0	0
Gm37821	0	0	0	0	0	0
Gm37091	0	0	0	0	0	0
Mir6349	0	0	0	0	0	0
Npas2	48	19	15	15	13	26
Gm20428	0	0	0	0	0	1
Gm3617	0	0	0	0	0	0
Rpl31	425	787	489	782	1075	951
Tbc1d8	332	324	500	225	217	291
Gm37265	0	0	0	0	0	0
Gm24826	0	0	0	0	0	0
Cnot11	94	133	146	142	128	157
Gm15832	47	79	30	40	58	65
Snord89	0	0	0	0	0	0
Rnf149	620	548	667	465	161	343
Gm23722	0	0	0	0	0	0
Gm5100	15	18	20	6	5	10
Creg2	0	0	0	4	1	0
D930019O06Rik	0	0	0	0	1	0
Rfx8	2	3	1	0	0	3
Gm3646	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0
Map4k4	162	160	157	146	132	208
4930456G14Rik	0	0	0	0	0	0
Il1r2	1	0	1	1	1	1
Gm16894	1	0	0	0	0	0
Gm37347	0	0	0	0	0	0
Il1r1	210	308	371	496	353	476
Gm38070	0	0	0	0	0	0
Il1rl2	5	6	8	4	4	7
Gm17970	0	0	0	0	0	0
Il1rl1	0	0	0	2	2	0
Il18r1	3	9	4	5	5	3
Il18rap	5	5	6	2	5	6
Gm35801	0	0	0	0	0	0
Slc9a4	0	0	0	1	0	0
Gm37435	0	0	0	0	0	0
Slc9a2	0	1	0	1	1	1
Gm37623	0	0	0	0	0	0
Gm37915	40	31	29	24	13	14
Mfsd9	28	16	26	13	12	30
Tmem182	0	0	0	0	7	0
Gm5973	0	0	0	0	0	0
4930448I06Rik	0	0	0	0	0	0
Gm28634	0	0	0	0	0	0
Gm29260	0	0	0	0	0	0
Gm5267	0	0	0	0	0	0
Gm8176	0	0	0	0	0	0
Gm9915	0	0	0	0	0	0
Gm29664	0	0	0	0	0	0
Gm28175	0	0	0	0	1	0
Gm28140	1	0	0	0	0	0
Gm37047	0	0	0	0	0	0
Pantr1	0	1	1	1	0	0
4930420N18Rik	0	0	0	0	0	0
Gm20646	1	0	0	0	0	0
Pou3f3	0	0	0	0	0	0
Pantr2	0	0	0	0	0	0
Dalir	0	0	0	0	0	0
Mrps9	256	277	322	287	262	322
Gm23126	0	0	0	0	0	0
Gpr45	0	0	0	0	0	1
Gm24001	0	0	0	0	0	0
Tgfbrap1	581	458	677	495	351	581
Gm28782	35	18	39	8	5	22
8430432A02Rik	5	6	2	4	4	3
AI597479	116	100	107	111	79	140
Fhl2	4	7	2	5	6	9
Gm8210	1	3	0	1	0	0
Gm29040	0	0	0	1	0	0
Gm29610	0	0	0	0	0	0
Gm29041	0	0	0	0	0	0
Nck2	23	21	42	27	20	53
Gm37536	0	0	0	0	0	0
Gm38228	0	0	0	0	0	0
1500015O10Rik	1	2	0	0	4	4
Gm29155	5	2	0	0	0	3
Gm29157	0	0	2	0	0	1
Gm29156	2	0	0	0	1	0
Uxs1	85	79	80	77	66	76
Gm16103	1	0	0	0	0	0
Gm19587	0	2	1	0	0	0
Gm8241	0	0	0	0	0	0
Gm26352	0	0	0	0	0	0
Gm24180	0	0	0	0	0	0
Tpp2	378	339	414	341	270	427
Mettl21c	0	0	0	0	1	0
Gm15838	0	0	0	0	0	0
Gm8251	0	0	3	0	0	0
Tex30	19	37	27	23	25	31
Gm29247	4	2	4	3	3	7
Kdelc1	55	70	41	61	44	63
Bivm	113	83	151	121	69	117
Ercc5	285	379	284	225	215	364
Mettl21e	0	0	0	0	0	0
Gm15833	0	0	0	0	0	0
Gm5700	0	0	0	0	0	0
Gm28893	0	0	0	0	0	0
Txn-ps1	1	3	1	1	1	1
Gulp1	5	9	6	6	4	6
Gm37626	0	0	0	0	0	0
Gm16102	0	0	0	0	0	0
4930521E06Rik	1	0	0	0	0	1
Gm38110	0	0	0	0	0	0
Gm3489	0	0	0	0	0	0
Gm19480	0	0	0	0	0	0
Gm3496	0	0	0	0	0	0
Gm5268	0	0	0	0	0	0
Col3a1	103	184	184	371	608	937
AC125167.1	0	0	0	0	0	0
Col5a2	20	36	27	29	26	76
Gm38211	0	0	0	0	0	0
Gm8296	0	0	0	0	0	0
Gm7063	0	0	0	0	0	0
Gm8304	0	0	0	0	0	0
Gm23216	0	0	0	0	0	0
Gm23974	0	0	0	0	0	0
Gm8307	0	0	0	0	0	0
Gm23984	0	0	0	0	0	0
Wdr75	170	135	155	127	127	165
Gm28906	0	0	0	0	0	0
Gm5526	4	7	2	11	9	6
Gm5269	1	0	0	1	0	0
Gm18303	0	0	0	0	0	0
Slc40a1	1122	916	1007	787	586	983
Gm9496	0	0	0	0	0	0
Rpl23a-ps1	0	0	0	0	0	0
Gm3852	0	0	0	0	0	0
Stk-ps2	0	0	0	0	0	0
Gm18849	0	0	0	0	0	0
Dnah7b	24	75	7	21	18	24
n-R5s211	0	0	0	0	0	0
Gm8326	0	0	0	0	2	0
Dnah7c	2	1	0	1	0	3
Slc39a10	57	77	75	54	54	79
Gm28151	0	0	0	0	0	0
Gm37393	0	0	0	0	0	0
Gm28527	0	0	0	0	0	0
Gm28825	0	0	0	0	0	0
Gm28826	0	0	0	0	0	0
Gm4852	1	1	0	0	0	0
Gm38090	0	0	0	0	0	0
Mir6350	0	0	0	0	0	0
Gm18117	0	0	0	0	0	0
Gm37196	0	0	0	0	0	0
Gm8337	1	0	2	0	0	1
Gm22419	0	0	0	0	0	0
Gm23829	0	0	0	0	0	0
Gm19206	0	0	0	0	0	0
Gm5974	0	1	0	0	0	0
Gm23240	0	0	0	0	0	0
Gm28830	0	0	0	0	0	0
Gm8354	0	0	0	0	0	0
Gm19124	0	0	0	0	0	0
Gm8357	0	0	0	0	0	0
Gm22693	0	0	0	0	0	0
Gm28740	0	0	0	0	0	0
Gm8367	0	0	0	0	0	0
C230029F24Rik	1	0	0	1	0	0
Gm6757	0	0	0	0	0	0
Gm3605	0	0	0	0	0	0
Gm28388	0	0	0	0	0	0
Gm8384	0	0	0	0	0	0
4933411E06Rik	0	0	0	0	0	0
Gm8391	0	0	0	0	0	0
Gm27330	0	0	0	0	0	0
Gm29665	0	0	0	0	0	0
Gm20118	0	0	0	0	0	0
Gm25843	0	0	0	0	0	0
Gm28321	0	0	0	0	0	0
Tmeff2	4	4	0	1	0	1
Gm28322	0	0	0	0	0	0
Gm25736	0	0	0	0	0	0
Gm28319	0	0	0	0	0	0
Gm28320	0	0	0	0	0	0
