Batch	Mouse	CC.Line	Generation	Sex	DWB012
4	B4-17	IL-3156	11	1	4.3333333333
4	B4-18	IL-3156	11	1	4.0111111111
4	B4-19	IL-3156	11	1	5.1777777778
4	B4-24	IL-3480	12	1	3.4444444444
4	B4-25	IL-3480	12	1	4.6
4	B4-27	IL-2126	15	1	1.7222222222
4	B4-28	IL-2126	15	1	2.6555555556
4	B4-29	IL-2126	15	1	5.2444444444
4	B4-31	IL-2452	11	1	11.1777777778
4	B4-3	IL-611	23	1	8.5111111111
5	B5-1	IL-111	27	1	6.9444444444
5	B5-2	IL-111	27	1	8.5222222222
5	B5-3	IL-111	27	1	6.0333333333
5	B5-4	IL-111	27	1	0.4888888889
5	B5-5	IL-111	27	1	6.4888888889
5	B5-13	IL-4156	18	1	7.0777777778
5	B5-14	IL-4156	18	1	10.6888888889
5	B5-15	IL-4156	18	1	5.0222222222
5	B5-16	IL-4156	18	1	5.3555555556
5	B5-17	IL-4156	18	1	2.0777777778
5	B5-20	IL-4799	13	1	7.7222222222
5	B5-21	IL-4799	13	1	8.2333333333
5	B5-39	IL-2750	18	1	5.1666666667
5	B5-40	IL-2750	18	1	3.5666666667
5	B5-41	IL-2750	18	1	4.6777777778
5	B5-42	IL-2750	18	1	3.3
5	B5-43	IL-2750	18	1	4.8222222222
5	B5-44	IL-2573	15	1	4.6777777778
5	B5-48	IL-2573	15	1	6.2111111111
5	B5-54	IL-4457	16	1	7.9777777778
5	B5-55	IL-4457	16	1	7.1222222222
5	B5-56	IL-4457	16	1	7.0333333333
5	B5-57	IL-2513	15	1	1.5333333333
5	B5-60	IL-3438	14	1	9.1333333333
5	B5-6	IL-521	24	1	1.8666666667
5	B5-7	IL-521	24	1	4.7222222222
5	B5-8	IL-611	24	1	3.9111111111
5	B5-9	IL-611	24	1	5.8777777778
5	B5-10	IL-611	24	1	7.7111111111
6	B6-1	IL-188	24	1	5.4555555556
6	B6-2	IL-188	24	1	6.5333333333
6	B6-3	IL-188	24	1	6.1444444444
6	B6-4	IL-188	24	1	7.1666666667
6	B6-5	IL-188	24	1	6.8444444444
6	B6-21	IL-1379	12	1	6.1111111111
6	B6-22	IL-1379	12	1	3.7777777778
6	B6-23	IL-2141	13	1	7.4555555556
6	B6-24	IL-2141	13	1	4.8222222222
6	B6-25	IL-2141	13	1	5.5222222222
6	B6-26	IL-2141	13	1	6.5
6	B6-27	IL-1052	11	1	4.4
6	B6-28	IL-1052	11	1	2.9222222222
6	B6-29	IL-1052	11	1	3.6222222222
6	B6-46	IL-4052	12	1	2.5777777778
6	B6-47	IL-4052	12	1	6.9333333333
6	B6-48	IL-4052	12	1	8.8111111111
6	B6-49	IL-4052	12	1	4.6
6	B6-50	IL-4052	12	1	3.9333333333
6	B6-52	IL-2438	9	1	8.7
6	B6-53	IL-2689	16	1	2.7444444444
6	B6-54	IL-2689	16	1	6.4777777778
6	B6-55	IL-4799	13	1	3.3444444444
6	B6-56	IL-4799	13	1	3.9888888889
6	B6-61	IL-2680	15	1	1.4888888889
6	B6-62	IL-3689	16	1	6.4777777778
6	B6-63	IL-3689	16	1	6.2444444444
6	B6-64	IL-3703	13	1	6.6333333333
6	B6-67	IL-2668	15	1	2.8888888889
6	B6-68	IL-2668	15	1	3.0555555556
6	B6-69	IL-2668	15	1	3.1666666667
6	B6-7	IL-519	24	1	2.4
6	B6-8	IL-519	24	1	2.7777777778
7	B7-1	IL-219	24	1	2.1888888889
7	B7-2	IL-219	24	1	1.9333333333
7	B7-3	IL-219	24	1	-0.4888888889
7	B7-4	IL-219	24	1	1.3111111111
7	B7-17	IL-2689	16	1	2.9444444444
7	B7-18	IL-2689	16	1	1.4111111111
7	B7-19	IL-2689	16	1	5.2444444444
8	B8-7	IL-2011	16	1	0.8777777778
8	B8-9	IL-2011	16	1	-0.1111111111
8	B8-10	IL-1156	12	1	2.8777777778
8	B8-12	IL-1156	12	1	5.2666666667
8	B8-14	IL-2146	10	1	5.1111111111
8	B8-17	IL-2126	17	1	1.6
8	B8-18	IL-1061	17	1	2.7333333333
8	B8-19	IL-1061	17	1	2.4333333333
8	B8-23	IL-1513	17	1	4.7777777778
8	B8-24	IL-1513	17	1	2.9444444444
8	B8-30	IL-3912	18	1	6.8
8	B8-31	IL-3912	18	1	4.8777777778
8	B8-32	IL-2469	15	1	4.2444444444
8	B8-33	IL-2469	15	1	7.5666666667
8	B8-34	IL-3703	3	1	8.9666666667
8	B8-35	IL-3703	13	1	8.5444444444
8	B8-36	IL-3348	17	1	5.6111111111
8	B8-37	IL-3348	17	1	5.0555555556
8	B8-38	IL-3348	17	1	5.0333333333
9	B9-12	IL-2011	16	1	6.2888888889
9	B9-17	IL-4799	14	1	7.8333333333
9	B9-18	IL-4799	14	1	7.2333333333
9	B9-19	IL-4799	14	1	6.9333333333
9	B9-20	IL-1061	18	1	5.5777777778
9	B9-21	IL-1513	18	1	6
9	B9-22	IL-1513	18	1	6.7555555556
9	B9-23	IL-1513	18	1	4.7444444444
9	B9-24	IL-1513	18	1	6.4444444444
9	B9-25	IL-1513	18	1	3.0555555556
9	B9-30	IL-2011	16	1	2.5444444444
9	B9-31	IL-2011	16	1	4.6555555556
9	B9-38	IL-2438	10	1	8.2222222222
9	B9-39	IL-2438	10	1	6.9444444444
9	B9-69	IL-2156	13	1	8.0444444444
9	B9-70	IL-2156	13	1	10.0555555556
9	B9-71	IL-2156	13	1	8.0222222222
9	B9-72	IL-2156	13	1	7.2222222222
9	B9-73	IL-2156	13	1	8.0888888889
9	B9-74	IL-2391	19	1	3.8888888889
9	B9-86	IL-2131	14	1	11.3666666667
9	B9-87	IL-2131	14	1	11.4555555556
9	B9-88	IL-2131	14	1	10.7777777778
9	B9-89	IL-2689	17	1	2.8333333333
9	B9-90	IL-2689	17	1	3.0555555556
9	B9-91	IL-2689	17	1	5.0333333333
9	B9-92	IL-2689	17	1	3.4
9	B9-93	IL-1141	14	1	6.2666666667
9	B9-94	IL-1141	14	1	5.6111111111
9	B9-95	IL-1141	14	1	6.2111111111
9	B9-97	IL-1061	18	1	5.3666666667
9	B9-98	IL-3575	16	1	3.4888888889
9	B9-99	IL-3575	16	1	0.8888888889
9	B9-1	IL-688	23	1	6.5
9	B9-2	IL-688	23	1	9.9222222222
9	B9-3	IL-688	23	1	9.2111111111
9	B9-4	IL-688	23	1	6.5888888889
9	B9-5	IL-688	23	1	6.2888888889
9	B9-6	IL-688	23	1	7.8222222222
9	B9-7	IL-688	23	1	9.5777777778
9	B9-8	IL-688	23	1	9.4777777778
9	B9-84	IL-2011	16	1	2.1
9	B9-85	IL-2011	16	1	4.2333333333
10	B10-1	IL-3438	17	1	11.9611111111
10	B10-2	IL-3438	17	1	11.8222222222
10	B10-3	IL-4052	14	1	6.4888888889
10	B10-4	IL-4052	14	1	3.3
10	B10-5	IL-4052	14	1	11.2833333333
10	B10-6	IL-4052	14	1	5.1833333333
10	B10-7	IL-4052	14	1	6.3055555556
10	B10-8	IL-4052	14	1	2.8388888889
10	B10-10	IL-3575	17	1	4.2666666667
10	B10-11	IL-3575	17	1	5.6333333333
10	B10-12	IL-3575	17	1	3.5277777778
10	B10-17	IL-1912	19	1	7.7722222222
10	B10-29	IL-3348	18	1	7.1166666667
10	B10-30	IL-3348	18	1	5.6833333333
10	B10-31	IL-3348	18	1	6.7444444444
10	B10-32	IL-3348	18	1	7.6277777778
10	B10-33	IL-3348	18	1	8.2333333333
11	B11-1	IL-2126	19	1	5.7
11	B11-24	IL-1912	21	1	6.7555555556
11	B11-25	IL-1912	21	1	10.3333333333
11	B11-29	IL-2462	14	1	0.7666666667
11	B11-30	IL-2462	14	1	0.9888888889
11	B11-31	IL-2126	19	1	2.1666666667
11	B11-32	IL-4141	19	1	7.3111111111
11	B11-33	IL-4141	19	1	6.5555555556
11	B11-34	IL-4141	19	1	9.4111111111
11	B11-35	IL-4438	13	1	13.6888888889
11	B11-36	IL-4438	13	1	14.3111111111
11	B11-37	IL-4438	13	1	19.2333333333
11	B11-38	IL-4457	22	1	7.9666666667
11	B11-39	IL-4457	22	1	6.1444444444
11	B11-40	IL-4457	22	1	11.5255555556
11	B11-41	IL-188	29	1	11.9555555556
11	B11-28	IL-519	28	1	2.9555555556
12	B12-18	IL-3480	12	1	6.9888888889
12	B12-19	IL-3480	12	1	4.6111111111
12	B12-4	IL-611	28	1	4.6666666667
12	B12-5	IL-611	28	1	2.9444444444
12	B12-6	IL-670	25	1	0.9
12	B12-7	IL-670	25	1	5.6777777778
12	B12-9	IL-670	25	1	3.5888888889
12	B12-10	IL-670	25	1	5.7888888889
13	B13-9	IL-2156	23	1	8.4222222222
13	B13-10	IL-2156	23	1	9.0555555556
13	B13-11	IL-2156	23	1	7.5666666667
13	B13-3	IL-711	31	1	0.8888888889
13	B13-4	IL-711	31	1	1.1333333333
13	B13-5	IL-711	31	1	1.0444444444
13	B13-6	IL-711	31	1	0.6444444444
13	B13-7	IL-711	31	1	0.9666666667
13	B13-8	IL-711	31	1	2.1
14	B14-5	IL-4438	14	1	6.9888888889
14	B14-11	IL-1061	21	1	5.6333333333
14	B14-12	IL-1061	21	1	4.8
14	B14-13	IL-1061	21	1	6.2777777778
14	B14-18	IL-1061	21	1	4.7222222222
14	B14-20	IL-1061	21	1	5.6444444444
14	B14-1	IL-611	30	1	3.1666666667
14	B14-2	IL-611	30	1	3.7666666667
14	B14-3	IL-611	30	1	3.5222222222
14	B14-4	IL-611	30	1	5.1333333333
14	B14-6	IL-711	31	1	1.6666666667
14	B14-7	IL-711	31	1	1.2444444444
14	B14-8	IL-711	31	1	0.5888888889
14	B14-9	IL-711	31	1	-0.5888888889
14	B14-10	IL-711	31	1	2.2222222222
14	B14-14	IL-557	22	1	10.8222222222
14	B14-15	IL-557	22	1	3.4888888889
14	B14-16	IL-557	22	1	11.6555555556
14	B14-17	IL-557	22	1	10.4444444444

